"failures","probs"
0," 0.0049"
1," 0.0146"
2," 0.0291"
3," 0.0483"
4," 0.0721"
5," 0.1005"
6," 0.1334"
7," 0.1707"
8," 0.2124"
9," 0.2584"
10," 0.3086"
11," 0.3630"
12," 0.4216"
13," 0.4842"
14," 0.5508"
15," 0.6214"
16," 0.6958"
17," 0.7741"
18," 0.8561"
19," 0.9419"
20," 1.0313"
21," 1.1243"
22," 1.2209"
23," 1.3209"
24," 1.4244"
25," 1.5313"
26," 1.6415"
27," 1.7550"
28," 1.8717"
29," 1.9917"
30," 2.1147"
31," 2.2408"
32," 2.3700"
33," 2.5021"
34," 2.6372"
35," 2.7751"
36," 2.9159"
37," 3.0595"
38," 3.2058"
39," 3.3548"
40," 3.5065"
41," 3.6608"
42," 3.8177"
43," 3.9771"
44," 4.1390"
45," 4.3033"
46," 4.4700"
47," 4.6390"
48," 4.8104"
49," 4.9841"
50," 5.1600"
51," 5.3380"
52," 5.5183"
53," 5.7006"
54," 5.8850"
55," 6.0715"
56," 6.2600"
57," 6.4504"
58," 6.6427"
59," 6.8370"
60," 7.0331"
61," 7.2310"
62," 7.4307"
63," 7.6322"
64," 7.8353"
65," 8.0402"
66," 8.2467"
67," 8.4548"
68," 8.6645"
69," 8.8758"
70," 9.0885"
71," 9.3028"
72," 9.5185"
73," 9.7356"
74," 9.9541"
75,"10.1740"
76,"10.3953"
77,"10.6178"
78,"10.8416"
79,"11.0666"
80,"11.2929"
81,"11.5204"
82,"11.7490"
83,"11.9787"
84,"12.2096"
85,"12.4415"
86,"12.6745"
87,"12.9086"
88,"13.1436"
89,"13.3796"
90,"13.6166"
91,"13.8544"
92,"14.0932"
93,"14.3329"
94,"14.5734"
95,"14.8148"
96,"15.0569"
97,"15.2999"
98,"15.5436"
99,"15.7880"
100,"16.0331"
101,"16.2790"
102,"16.5255"
103,"16.7727"
104,"17.0205"
105,"17.2689"
106,"17.5179"
107,"17.7675"
108,"18.0176"
109,"18.2682"
110,"18.5194"
111,"18.7710"
112,"19.0231"
113,"19.2757"
114,"19.5287"
115,"19.7821"
116,"20.0359"
117,"20.2901"
118,"20.5446"
119,"20.7995"
120,"21.0547"
121,"21.3102"
122,"21.5660"
123,"21.8221"
124,"22.0784"
125,"22.3350"
126,"22.5918"
127,"22.8488"
128,"23.1061"
129,"23.3634"
130,"23.6210"
131,"23.8787"
132,"24.1365"
133,"24.3945"
134,"24.6526"
135,"24.9107"
136,"25.1690"
137,"25.4273"
138,"25.6856"
139,"25.9440"
140,"26.2024"
141,"26.4608"
142,"26.7192"
143,"26.9777"
144,"27.2360"
145,"27.4944"
146,"27.7527"
147,"28.0109"
148,"28.2690"
149,"28.5271"
150,"28.7851"
151,"29.0429"
152,"29.3006"
153,"29.5583"
154,"29.8157"
155,"30.0730"
156,"30.3302"
157,"30.5871"
158,"30.8439"
159,"31.1005"
160,"31.3569"
161,"31.6131"
162,"31.8690"
163,"32.1248"
164,"32.3802"
165,"32.6355"
166,"32.8904"
167,"33.1451"
168,"33.3996"
169,"33.6537"
170,"33.9075"
171,"34.1611"
172,"34.4143"
173,"34.6672"
174,"34.9198"
175,"35.1721"
176,"35.4240"
177,"35.6755"
178,"35.9267"
179,"36.1775"
180,"36.4280"
181,"36.6781"
182,"36.9278"
183,"37.1771"
184,"37.4260"
185,"37.6745"
186,"37.9226"
187,"38.1702"
188,"38.4175"
189,"38.6643"
190,"38.9106"
191,"39.1566"
192,"39.4020"
193,"39.6471"
194,"39.8916"
195,"40.1357"
196,"40.3793"
197,"40.6225"
198,"40.8651"
199,"41.1073"
200,"41.3490"
201,"41.5902"
202,"41.8309"
203,"42.0710"
204,"42.3107"
205,"42.5498"
206,"42.7885"
207,"43.0266"
208,"43.2641"
209,"43.5012"
210,"43.7377"
211,"43.9736"
212,"44.2090"
213,"44.4439"
214,"44.6782"
215,"44.9119"
216,"45.1451"
217,"45.3777"
218,"45.6098"
219,"45.8412"
220,"46.0721"
221,"46.3025"
